date,timestamp,price,market_cap,est_supply,est_mcap
2021-05-01,1619827200,16.56,0,441569060.77348065,7312383646.408839
2021-05-02,1619913600,17.16,0,441215469.6132597,7571257458.563536
2021-05-03,1620000000,17.26,0,440861878.4530387,7609276022.099448
2021-05-04,1620086400,16.29,0,440508287.29281765,7175879999.999999
2021-05-05,1620172800,17.06,0,440154696.1325967,7509039116.022099
2021-05-06,1620259200,16.79,0,439801104.9723757,7384260552.486188
2021-05-07,1620345600,16.59,0,439447513.8121547,7290434254.143646
2021-05-08,1620432000,17,0,439093922.65193367,7464596685.082872
2021-05-09,1620518400,17.02,0,438740331.4917127,7467360441.98895
2021-05-10,1620604800,15.86,0,438386740.3314917,6952813701.657458
2021-05-11,1620691200,16.33,0,438033149.1712707,7153081325.96685
2021-05-12,1620777600,14.62,0,437679558.01104975,6398875138.121547
2021-05-13,1620864000,15.91,0,437325966.8508287,6957856132.596684
2021-05-14,1620950400,16.42,0,436972375.6906077,7175086408.83978
2021-05-15,1621036800,15.22,0,436618784.53038675,6645337900.552486
2021-05-16,1621123200,16.27,0,436265193.37016577,7098034696.132597
2021-05-17,1621209600,14.96,0,435911602.2099447,6521237569.060774
2021-05-18,1621296000,15.68,0,435558011.04972374,6829549613.259668
2021-05-19,1621382400,9.568,0,435204419.88950276,4164035889.5027623
2021-05-20,1621468800,10.37,0,434850828.7292818,4509403093.922651
2021-05-21,1621555200,8.269,0,434497237.5690608,3592857657.458564
2021-05-22,1621641600,6.599,0,434143646.40883976,2864913922.6519337
2021-05-23,1621728000,4.097,0,433790055.2486188,1777237856.3535914
2021-05-24,1621814400,6.637,0,433436464.0883978,2876717812.154696
2021-05-25,1621900800,6.656,0,433082872.9281768,2882599602.2099447
2021-05-26,1621987200,7.352,0,432729281.7679558,3181425679.558011
2021-05-27,1622073600,6.702,0,432375690.6077348,2897781878.4530387
2021-05-28,1622160000,5.898,0,432022099.4475138,2548066342.541436
2021-05-29,1622246400,5.496,0,431668508.28729284,2372450121.546962
2021-05-30,1622332800,6.209,0,431314917.1270718,2678034320.4419885
2021-05-31,1622419200,6.559,0,430961325.9668508,2826675337.0165744
2021-06-01,1622505600,6.299,0,430607734.80662984,2712398121.5469613
2021-06-02,1622592000,6.839,0,430254143.64640886,2942508088.3977904
2021-06-03,1622678400,7.677,0,429900552.4861878,3300346541.436464
2021-06-04,1622764800,6.384,0,429546961.32596684,2742227801.1049724
2021-06-05,1622851200,6.045,0,429193370.16574585,2594473922.6519337
2021-06-06,1622937600,6.25,0,428839779.0055249,2680248618.7845306
2021-06-07,1623024000,5.602,0,428486187.8453039,2400379624.3093925
2021-06-08,1623110400,5.599,0,428132596.68508285,2397114408.839779
2021-06-09,1623196800,6.02,0,427779005.5248619,2575229613.2596684
2021-06-10,1623283200,6.14,0,427425414.3646409,2624392044.198895
2021-06-11,1623369600,5.56,0,427071823.2044199,2374519337.0165744
2021-06-12,1623456000,5.495,0,426718232.0441989,2344816685.082873
2021-06-13,1623542400,6.052,0,426364640.8839779,2580358806.629834
2021-06-14,1623628800,6.205,0,426011049.7237569,2643398563.5359116
2021-06-15,1623715200,6.587,0,425657458.5635359,2803805679.558011
2021-06-16,1623801600,6.174,0,425303867.40331495,2625826077.348067
2021-06-17,1623888000,6.162,0,424950276.2430939,2618543602.2099447
2021-06-18,1623974400,5.951,0,424596685.0828729,2526774872.9281764
2021-06-19,1624060800,5.736,0,424243093.92265195,2433458386.7403316
2021-06-20,1624147200,5.867,0,423889502.7624309,2486959712.707182
2021-06-21,1624233600,4.84,0,423535911.6022099,2049913812.154696
2021-06-22,1624320000,4.731,0,423182320.44198895,2002075558.0110497
2021-06-23,1624406400,5.197,0,422828729.28176796,2197440906.077348
2021-06-24,1624492800,5.468,0,422475138.121547,2310094055.248619
2021-06-25,1624579200,5.055,0,422121546.96132594,2133824419.8895025
2021-06-26,1624665600,5.208,0,421767955.80110496,2196567513.812155
2021-06-27,1624752000,5.419,0,421414364.640884,2283644441.9889503
2021-06-28,1624838400,5.532,0,421060773.480663,2329308198.8950276
2021-06-29,1624924800,6.006,0,420707182.32044196,2526767337.0165744
2021-06-30,1625011200,6.559,0,420353591.160221,2757099204.4198895
2021-07-01,1625097600,5.9,0,420000000.0,2478000000.0
2021-07-02,1625184000,5.72,0,419756097.5609756,2401004878.0487804
2021-07-03,1625270400,5.806,0,419512195.1219512,2435687804.878049
2021-07-04,1625356800,5.971,0,419268292.68292683,2503450975.609756
2021-07-05,1625443200,6.023,0,419024390.24390244,2523783902.4390244
2021-07-06,1625529600,6.533,0,418780487.80487806,2735892926.8292685
2021-07-07,1625616000,7.101,0,418536585.36585367,2972028292.6829267
2021-07-08,1625702400,6.706,0,418292682.9268293,2805070731.7073174
2021-07-09,1625788800,8.093,0,418048780.4878049,3383268780.487805
2021-07-10,1625875200,7.896,0,417804878.0487805,3298987317.0731707
2021-07-11,1625961600,8.436,0,417560975.6097561,3522544390.2439027
2021-07-12,1626048000,7.888,0,417317073.1707317,3291797073.170732
2021-07-13,1626134400,7.113,0,417073170.73170733,2966641463.414634
2021-07-14,1626220800,6.937,0,416829268.29268295,2891544634.146342
2021-07-15,1626307200,6.666,0,416585365.85365856,2776958048.780488
2021-07-16,1626393600,6.576,0,416341463.41463417,2737861463.414634
2021-07-17,1626480000,6.495,0,416097560.9756098,2702553658.5365853
2021-07-18,1626566400,6.498,0,415853658.5365854,2702217073.170732
2021-07-19,1626652800,5.968,0,415609756.097561,2480359024.390244
2021-07-20,1626739200,5.861,0,415365853.6585366,2434459268.292683
2021-07-21,1626825600,6.619,0,415121951.2195122,2747692195.121951
2021-07-22,1626912000,7.345,0,414878048.7804878,3047279268.2926826
2021-07-23,1626998400,7.886,0,414634146.3414634,3269804878.0487804
2021-07-24,1627084800,8.492,0,414390243.902439,3519001951.2195125
2021-07-25,1627171200,8.258,0,414146341.4634146,3420020487.8048773
2021-07-26,1627257600,8.519,0,413902439.0243902,3526034878.0487804
2021-07-27,1627344000,9.513,0,413658536.58536583,3935133658.5365853
2021-07-28,1627430400,10.97,0,413414634.14634144,4535158536.585366
2021-07-29,1627516800,11.05,0,413170731.70731705,4565536585.365853
2021-07-30,1627603200,10.86,0,412926829.26829267,4484385365.853658
2021-07-31,1627689600,10.73,0,412682926.8292683,4428087804.878049
2021-08-01,1627776000,11.96,0,412439024.3902439,4932770731.707317
2021-08-02,1627862400,12.34,0,412195121.9512195,5086487804.878049
2021-08-03,1627948800,14.76,0,411951219.5121951,6080400000.0
2021-08-04,1628035200,14.53,0,411707317.0731707,5982107317.073171
2021-08-05,1628121600,14.58,0,411463414.63414633,5999136585.365853
2021-08-06,1628208000,14.52,0,411219512.19512194,5970907317.073171
2021-08-07,1628294400,14.59,0,410975609.75609756,5996134146.341463
2021-08-08,1628380800,13.39,0,410731707.31707317,5499697560.97561
2021-08-09,1628467200,13.95,0,410487804.8780488,5726304878.04878
2021-08-10,1628553600,16.72,0,410243902.4390244,6859278048.780487
2021-08-11,1628640000,16.99,0,410000000.0,6965899999.999999
2021-08-12,1628726400,16.59,0,409756097.5609756,6797853658.536586
2021-08-13,1628812800,17.8,0,409512195.1219512,7289317073.1707325
2021-08-14,1628899200,17.34,0,409268292.68292683,7096712195.121951
2021-08-15,1628985600,19.28,0,409024390.24390244,7885990243.90244
2021-08-16,1629072000,21.94,0,408780487.80487806,8968643902.439026
2021-08-17,1629158400,25.3,0,408536585.36585367,10335975609.756098
2021-08-18,1629244800,30.78,0,408292682.9268293,12567248780.487806
2021-08-19,1629331200,29.42,0,408048780.4878049,12004795121.951221
2021-08-20,1629417600,30.64,0,407804878.0487805,12495141463.414635
2021-08-21,1629504000,27.55,0,407560975.6097561,11228304878.04878
2021-08-22,1629590400,28,0,407317073.1707317,11404878048.780489
2021-08-23,1629676800,29.95,0,407073170.73170733,12191841463.414635
2021-08-24,1629763200,29.66,0,406829268.29268295,12066556097.560976
2021-08-25,1629849600,30.07,0,406585365.85365856,12226021951.219513
2021-08-26,1629936000,26.96,0,406341463.41463417,10954965853.658537
2021-08-27,1630022400,32.65,0,406097560.9756098,13259085365.853659
2021-08-28,1630108800,35.03,0,405853658.5365854,14217053658.536587
2021-08-29,1630195200,33.3,0,405609756.097561,13506804878.04878
2021-08-30,1630281600,33.46,0,405365853.6585366,13563541463.414635
2021-08-31,1630368000,31.56,0,405121951.2195122,12785648780.487804
2021-09-01,1630454400,31.75,0,404878048.7804878,12854878048.780487
2021-09-02,1630540800,32.82,0,404634146.3414634,13280092682.926828
2021-09-03,1630627200,31.71,0,404390243.902439,12823214634.146341
2021-09-04,1630713600,31.4,0,404146341.4634146,12690195121.951218
2021-09-05,1630800000,34.54,0,403902439.0243902,13950790243.902437
2021-09-06,1630886400,32.31,0,403658536.58536583,13042207317.073172
2021-09-07,1630972800,27.82,0,403414634.14634144,11222995121.95122
2021-09-08,1631059200,29.48,0,403170731.70731705,11885473170.731707
2021-09-09,1631145600,30.6,0,402926829.26829267,12329560975.609756
2021-09-10,1631232000,43.39,0,402682926.8292683,17472412195.121952
2021-09-11,1631318400,39.24,0,402439024.3902439,15791707317.073172
2021-09-12,1631404800,39.24,0,402195121.9512195,15782136585.365854
2021-09-13,1631491200,37.23,0,401951219.5121951,14964643902.439022
2021-09-14,1631577600,35.72,0,401707317.0731707,14348985365.853657
2021-09-15,1631664000,36.73,0,401463414.63414633,14745751219.512194
2021-09-16,1631750400,37.47,0,401219512.19512194,15033695121.95122
2021-09-17,1631836800,34.45,0,400975609.75609756,13813609756.097563
2021-09-18,1631923200,34.81,0,400731707.31707317,13949470731.707317
2021-09-19,1632009600,32.94,0,400487804.8780488,13192068292.682926
2021-09-20,1632096000,27.5,0,400243902.4390244,11006707317.073172
2021-09-21,1632182400,25.13,0,400000000.0,10052000000.0
2021-09-22,1632268800,33.23,0,399756097.5609756,13283895121.951218
2021-09-23,1632355200,36.21,0,399512195.1219512,14466336585.365854
