tx,block,actor,contract,event,status,day
0xa7f95636884d47124176af617574edc5089d40774fc7d8f7f59c61c193538463,14987411,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0x3ae364663d1dd486057e9fec0ec397c26179fe2450f3b5c0a13803627db91762,14987411,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0x5278a12a182489f5a5dd85cfd5817fc5acb69b7d16bdb29a1f8218abe5ed869c,14987410,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0x3fae2041e848a9a120e12092711f4e933def37fd556d8fb43b954d68b00b8069,14987410,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-18
0x3826ecfd12dc8628bab208bb960ea41628b244ba2dd3b0a68c9b97a8ebb53d64,14987402,0x066d6053a177d1771c5806A1196549949C764a4B,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-18
0xe60b490adfbdccbe9aa85b7fda2abf2a5ffbd52c8c70a5710c5f15f4099bec57,14987193,0x007e31eAae82c452b121d93248092Ba926d625eF,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-18
0xa3ad789758c5452a5e224b9a575a314767b7efa260c28a35478e7f661cd4df44,14987193,0x7Ed42c3C85871b33f4D7495b8826C3483F217CC2,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-18
0x2e242a2edaf118fa2c4155b6f818c61caf02b78f3c223c00380085e0b76998ad,14987192,0x007e31eAae82c452b121d93248092Ba926d625eF,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0x6f7dbd671aec09747f2f2c30ad0baf8796999b6913718956e09ffe7c7fe9a24a,14987192,0x7Ed42c3C85871b33f4D7495b8826C3483F217CC2,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0xe072ec92e5bd26f6fe6f701ef033819d9f355fe03dce4e6079c0d4ef43600dd4,14987191,0x007e31eAae82c452b121d93248092Ba926d625eF,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0x7b781b26ebd776907834026d70354e3e84918acc974c81f299b8c230a7ae3a86,14987187,0xCcCEfA3A442fb16469e00C294752e8EB5e38b939,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0x8aa49e0a5a42004e37087f1d628e2b0ce8da2154374e130a04e791c214d42a39,14987186,0x56E74C24E339af1d779B8651617a115327Eb5C0C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0xe2c30349bf878a070b7a7d94336f1d26577a2c7231f799ca809ab30eb2721adb,14987186,0x066d6053a177d1771c5806A1196549949C764a4B,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-18
0x2dd97982b52135f1cd71101cc86cff10100704d209a66f63823dcc99094ee243,14987186,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0x1d69395b522551fed704fc5b6b634fcf3a819023e4112bbaeab05e64a50e3878,14987185,0x066d6053a177d1771c5806A1196549949C764a4B,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-18
0xcf12bdc0c35561ec73a4706f57c84185f935552f007018c2dbe5871f95b8e71a,14986995,0x7Ed42c3C85871b33f4D7495b8826C3483F217CC2,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-18
0x4ab5639dc03901ed3f1162747682c7104cfbf0ff88efe94b36149eaa79c3f5cb,14986995,0x007e31eAae82c452b121d93248092Ba926d625eF,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0xa66a1cd142347e04cba7ce3a368d6a9fc045736f64a78c14631f1f36044d05d2,14986989,0x7Ed42c3C85871b33f4D7495b8826C3483F217CC2,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0x7835b5952447337aeffd1fcabaff2c87e029ec374143aaf00b274e1ffb54bd97,14986988,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0xd13f1aec032797970c31fea16cae0beed12cce4d268d40e0f29324f2ccaecaba,14986986,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0x00d8a1c6568bcba22c59518eef774eb7650f791ab09fd2e6f3d47d1998ca6b35,14986979,0x066d6053a177d1771c5806A1196549949C764a4B,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0x4c909a9ed249cbcb699162500f99e74b0f40ab5b6f84fafd6431a7c7bbe655b5,14986974,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-18
0x2cf7e860d8ab2c774973afe7124d23da221c027966fac7270884053b4e27e3a4,14986202,0xbE9064c409224D858F5fb12A5D3E8e417d9e28b7,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-18
0xbe59808d944b2b9b7f3fb60c80824a12d5ebadf750c0f0ee7379f74dc9b6c262,14986202,0xCcCEfA3A442fb16469e00C294752e8EB5e38b939,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0x7e8747f68537c2eb99dce31aef0b86ecc8be0961d90d614ceabeb5e47dd31984,14984483,0xCcCEfA3A442fb16469e00C294752e8EB5e38b939,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-18
0x716e738aef63db9c85dc9f9dc88b6b70e426557e155544f0190640354d14aba7,14984483,0x55b7969dCE63163d92E8b88722c216EC46c041f3,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-18
0x1b69523df08d331618e6ddf0831a77c54259fd90b3d93a3723325d5166a3cf89,14984481,0xB2E1284Fb685dbDcc4378cF5d4E9515679527a42,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-18
